ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
528;Donna;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia senza figli;casalinga;al centro;Italiana;No;No, sarei contrario;in occasione delle principali feste;altro;con tranquillita';Non occupato;Casalinghe;;Media;BABY BOOMERS;Cattolico non praticante;1,36
529;Donna;45-54 anni;isole;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;a centro destra;ho la doppia cittadinanza (italiana e di un altro Paese);Si';Non saprei;non sono credente;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;non credente;0,72
530;Donna;45-54 anni;nord-est;da 10001 a 30000 abitanti;no laurea;genitore solo, con figli;impiegato;a centro destra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,78
531;Donna;45-54 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia con figli;casalinga;a destra;Italiana;Non saprei;Si, abbastanza;mai;periferia;avverto difficolta';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico non praticante;1,52
532;Donna;oltre 64 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia con figli;disoccupato (ex-occupato);a sinistra;Italiana;Si';Si, molto;alcune volte l'anno;piccoli centri;avverto difficolta';Non occupato;Disoccupati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;0,43
533;Donna;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a destra;Italiana;Non saprei;Si, abbastanza;mai;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;1,47
534;Uomo;45-54 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;insegnante di scuola media, elementare e materna;a centro sinistra;Italiana;Si';Si, molto;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,49
535;Uomo;35-44 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a centro destra;Italiana;Si';Si, abbastanza;mai;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;MILLENNIALS;Cattolico non praticante;3,44
536;Uomo;45-54 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia senza figli;impiegato;a destra;Italiana;Si';Si, molto;mai;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;2,59
537;Uomo;55-64 anni;isole;da 10001 a 30000 abitanti;laurea;coppia con figli;dirigente;al centro;Italiana;No;Si, abbastanza;la domenica;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,81
538;Uomo;55-64 anni;nord-est;da 10001 a 30000 abitanti;laurea;single vive con altre persone (amici, parenti);libero professionista;in nessuna area politica;Italiana;No;Si, abbastanza;mai;altro;con tranquillita';Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico non praticante;0,38
539;Uomo;oltre 64 anni;centro;da 30001 a 100000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei contrario;2/3 volte alla settimana;periferia;con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,31
540;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;laurea;coppia senza figli;imprenditore;al centro;Italiana;No;No, sarei contrario;non sono credente;altro;avverto difficolta';Occupato;Autonomi;;Alta;BABY BOOMERS;non credente;0,23
541;Uomo;35-44 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;vive con i genitori;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';No, sarei contrario;la domenica;altro;avverto difficolta';Non occupato;Pensionati;Pubblico;Bassa;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,82
542;Uomo;oltre 64 anni;sud;fino a 5000 abitanti;no laurea;altro/preferisco non rispondere;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Non saprei;la domenica;piccoli centri;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,09
543;Donna;55-64 anni;isole;oltre 250000 abitanti;no laurea;coppia con figli;altro lavoratore autonomo/agente di commercio/rappresentante;in nessuna area politica;Italiana;Si';Si, molto;alcune volte l'anno;periferia;arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;0,47
544;Uomo;55-64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia senza figli;altro lavoratore autonomo/agente di commercio/rappresentante;al centro;Italiana;Si';Si, abbastanza;la domenica;altro;mi sento povero e non arrivo mai a fine mese;Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);3,37
545;Uomo;55-64 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;imprenditore;in nessuna area politica;Italiana;No;Si, abbastanza;mai;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico non praticante;1,02
546;Uomo;45-54 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;commerciante;a destra;Italiana;Si';Si, molto;mai;altro;arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;0,59
547;Donna;45-54 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;disoccupato (ex-occupato);al centro;Italiana;Non saprei;Si, molto;mai;altro;avverto difficolta';Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,5
548;Donna;oltre 64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Non saprei;in occasione delle principali feste;citta' medie;con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;2,29
549;Donna;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;la domenica;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,48
550;Donna;35-44 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;0,63
551;Donna;45-54 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia senza figli;impiegato;in nessuna area politica;Italiana;Si';No, sarei molto contrario;la domenica;citta' medie;con tranquillita';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2,23
552;Donna;55-64 anni;centro;da 5001 a 10000 abitanti;no laurea;vive da solo +55 anni;disoccupato (ex-occupato);in nessuna area politica;Italiana;Non saprei;Si, molto;la domenica;piccoli centri;mi sento povero e non arrivo mai a fine mese;Non occupato;Disoccupati;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,67
553;Uomo;oltre 64 anni;sud;da 100001 a 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';Si, abbastanza;la domenica;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,32
554;Uomo;35-44 anni;nord-ovest;da 10001 a 30000 abitanti;laurea;vive da solo 35-54 anni;impiegato;a destra;Italiana;Si';No, sarei contrario;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,6
555;Donna;oltre 64 anni;nord-est;fino a 5000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';Si, molto;una volta al mese;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico praticante (fino a 1 volta al mese);0,17
556;Donna;oltre 64 anni;nord-est;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;No;No, sarei contrario;alcune volte l'anno;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;0,84
557;Uomo;oltre 64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';No, sarei contrario;preferisco non rispondere;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;;0,84
558;Donna;55-64 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;a sinistra;Italiana;No;No, sarei molto contrario;mai;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,97
559;Donna;oltre 64 anni;isole;da 100001 a 250000 abitanti;no laurea;coppia con figli;casalinga;a centro sinistra;Italiana;Si';Si, molto;in occasione delle principali feste;periferia;arrivo a fine mese con molte difficolta';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico non praticante;0,43
560;Donna;oltre 64 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Non saprei;No, sarei contrario;sono di un'altra religione;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;altra religione;0,24
561;Donna;45-54 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;preferisco non rispondere;Italiana;Si';Si, abbastanza;2/3 volte alla settimana;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,18
562;Uomo;55-64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;operaio;a centro sinistra;Italiana;Si';No, sarei molto contrario;in occasione delle principali feste;citta' medie;arrivo a fine mese con molte difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,76
563;Donna;55-64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;No;No, sarei contrario;alcune volte l'anno;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,66
564;Donna;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;la domenica;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,66
565;Uomo;oltre 64 anni;isole;da 10001 a 30000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;al centro;Italiana;No;No, sarei contrario;la domenica;periferia;con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,23
566;Uomo;45-54 anni;nord-est;da 100001 a 250000 abitanti;no laurea;coppia senza figli;altro lavoratore dipendente;preferisco non rispondere;Italiana;Non saprei;Si, abbastanza;mai;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;2,3
567;Donna;oltre 64 anni;isole;fino a 5000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;No;Non saprei;in occasione delle principali feste;periferia;mi sento povero e non arrivo mai a fine mese;Non occupato;Pensionati;Privato;Alta;SILENT;Cattolico non praticante;0,22
568;Donna;45-54 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;impiegato;al centro;Italiana;Non saprei;No, sarei molto contrario;alcune volte l'anno;piccoli centri;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,32
569;Uomo;oltre 64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';Non saprei;in occasione delle principali feste;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;1,04
570;Uomo;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei contrario;mai;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,84
571;Donna;oltre 64 anni;sud;fino a 5000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';Si, molto;alcune volte l'anno;piccoli centri;avverto difficolta';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;0,52
572;Donna;oltre 64 anni;sud;da 30001 a 100000 abitanti;no laurea;genitore solo, con figli;casalinga;in nessuna area politica;Italiana;Si';No, sarei molto contrario;2/3 volte alla settimana;periferia;con tranquillita';Non occupato;Casalinghe;;Media;SILENT;Cattolico praticante (fino a 1 volta al mese);0,52
573;Uomo;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;no laurea;vive da solo +55 anni;altro (non occupato);a centro destra;Italiana;No;No, sarei contrario;mai;aree centrali di grandi citta';mi sento povero e non arrivo mai a fine mese;Non occupato;Disoccupati;;Media;BABY BOOMERS;Cattolico non praticante;1,79
574;Uomo;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, abbastanza;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;SILENT;Cattolico praticante (fino a 1 volta al mese);0,76
575;Uomo;18-24 anni;centro;oltre 250000 abitanti;no laurea;vive con i genitori;studente/scolaro;a destra;Italiana;Si';No, sarei contrario;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Non occupato;Studenti;;Media;MILLENNIALS;Cattolico non praticante;1,07
576;Donna;oltre 64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia senza figli;casalinga;a centro sinistra;Italiana;Si';No, sarei contrario;la domenica;altro;con tranquillita';Non occupato;Casalinghe;;Bassa;SILENT;Cattolico praticante (fino a 1 volta al mese);2,29
577;Uomo;55-64 anni;nord-ovest;da 10001 a 30000 abitanti;laurea;coppia con figli;libero professionista;a destra;Italiana;No;No, sarei molto contrario;alcune volte l'anno;altro;avverto difficolta';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico non praticante;0,52
578;Uomo;oltre 64 anni;centro;da 5001 a 10000 abitanti;no laurea;coppia con figli;imprenditore;a centro destra;Italiana;Si';Si, molto;la domenica;periferia;agiatamente;Occupato;Autonomi;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,75
579;Uomo;45-54 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;in nessuna area politica;Italiana;No;Non saprei;alcune volte l'anno;citta' medie;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;2,59
580;Uomo;35-44 anni;nord-est;da 10001 a 30000 abitanti;laurea;coppia con figli;libero professionista;al centro;Italiana;No;No, sarei contrario;alcune volte l'anno;periferia;con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico non praticante;0,24
581;Uomo;oltre 64 anni;sud;da 100001 a 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;ogni giorno;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,04
582;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;la domenica;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,26
583;Donna;55-64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia senza figli;disoccupato (ex-occupato);a sinistra;Italiana;Non saprei;Si, abbastanza;ogni giorno;periferia;avverto difficolta';Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,45
584;Uomo;25-34 anni;isole;da 5001 a 10000 abitanti;laurea;vive con i genitori;in cerca di prima occupazione;a centro sinistra;Italiana;Si';Si, abbastanza;mai;piccoli centri;con tranquillita';Non occupato;Disoccupati;;Alta;MILLENNIALS;Cattolico non praticante;0,31
585;Uomo;oltre 64 anni;centro;fino a 5000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;al centro;Italiana;Non saprei;No, sarei contrario;la domenica;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Media;SILENT;Cattolico praticante (fino a 1 volta al mese);1,75
586;Uomo;35-44 anni;nord-ovest;oltre 250000 abitanti;laurea;vive da solo 35-54 anni;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, molto;mai;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico non praticante;0,28
587;Donna;25-34 anni;sud;fino a 5000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';Non saprei;non sono credente;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Media;MILLENNIALS;non credente;0,51
588;Donna;55-64 anni;isole;fino a 5000 abitanti;no laurea;coppia senza figli;casalinga;in nessuna area politica;Italiana;Si';Si, abbastanza;alcune volte l'anno;altro;avverto difficolta';Non occupato;Casalinghe;;Bassa;GENERAZIONE X;Cattolico non praticante;1,98
589;Donna;45-54 anni;nord-ovest;oltre 250000 abitanti;laurea;genitore solo, con figli;dirigente;al centro;Italiana;No;No, sarei molto contrario;la domenica;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,22
590;Uomo;25-34 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia senza figli;impiegato;in nessuna area politica;Italiana;Si';No, sarei contrario;sono di un'altra religione;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Media;MILLENNIALS;altra religione;0,87
591;Uomo;25-34 anni;nord-est;da 30001 a 100000 abitanti;laurea;coppia senza figli;docente/insegnante di scuola superiore;a sinistra;Italiana;No;Si, abbastanza;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico non praticante;0,43
592;Donna;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;laurea;genitore solo, con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';No, sarei molto contrario;mai;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,73
593;Uomo;25-34 anni;sud;da 10001 a 30000 abitanti;no laurea;vive da solo 35-54 anni;libero professionista;preferisco non rispondere;Italiana;Non saprei;Non saprei;preferisco non rispondere;altro;mi sento povero e non arrivo mai a fine mese;Occupato;Autonomi;;Media;MILLENNIALS;;4,44
594;Donna;oltre 64 anni;isole;oltre 250000 abitanti;no laurea;vive da solo +55 anni;casalinga;preferisco non rispondere;Italiana;Si';Non saprei;la domenica;periferia;avverto difficolta';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,77
595;Donna;35-44 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia senza figli;casalinga;a sinistra;Italiana;Si';Si, molto;in occasione delle principali feste;altro;avverto difficolta';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico non praticante;3,1
596;Donna;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a destra;Italiana;Si';Si, molto;la domenica;periferia;mi sento povero e non arrivo mai a fine mese;Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,15
597;Donna;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;mai;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,5
598;Donna;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;genitore solo, con figli;casalinga;in nessuna area politica;Italiana;Si';Si, abbastanza;mai;altro;con tranquillita';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico non praticante;2,67
599;Uomo;35-44 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a centro destra;Italiana;No;Si, abbastanza;una volta al mese;piccoli centri;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);0,6
600;Uomo;55-64 anni;nord-ovest;da 100001 a 250000 abitanti;no laurea;coppia con figli;impiegato;a centro destra;Italiana;Non saprei;No, sarei contrario;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;non credente;2,95
601;Donna;45-54 anni;centro;da 5001 a 10000 abitanti;no laurea;single vive con altre persone (amici, parenti);disoccupato (ex-occupato);a centro sinistra;Italiana;Non saprei;Non saprei;mai;piccoli centri;avverto difficolta';Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,71
602;Uomo;35-44 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia con figli;operaio;in nessuna area politica;Italiana;No;No, sarei contrario;sono di un'altra religione;periferia;arrivo a fine mese con molte difficolta';Occupato;Operai;Privato;Bassa;GENERAZIONE X;altra religione;3,44
603;Uomo;55-64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,7
604;Donna;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;casalinga;in nessuna area politica;Italiana;Si';Si, abbastanza;la domenica;periferia;mi sento povero e non arrivo mai a fine mese;Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,6
605;Donna;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,99
606;Uomo;25-34 anni;sud;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;artigiano/familiare coadiuvante;a centro sinistra;ho la doppia cittadinanza (italiana e di un altro Paese);Si';Si, abbastanza;una volta al mese;periferia;con tranquillita';Occupato;Autonomi;;Media;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);0,69
607;Donna;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Si, abbastanza;alcune volte l'anno;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;1,07
608;Donna;35-44 anni;nord-ovest;da 30001 a 100000 abitanti;laurea;coppia con figli;libero professionista;preferisco non rispondere;Italiana;No;No, sarei molto contrario;in occasione delle principali feste;periferia;con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico non praticante;0,92
609;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;no laurea;genitore solo, con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;la domenica;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,66
610;Donna;55-64 anni;sud;fino a 5000 abitanti;no laurea;coppia senza figli;insegnante di scuola media, elementare e materna;a sinistra;Italiana;Si';Si, molto;la domenica;piccoli centri;con tranquillita';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,64
611;Uomo;oltre 64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;non sono credente;altro;con tranquillita';Non occupato;Pensionati;Privato;Media;SILENT;non credente;0,71
612;Donna;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;al centro;Italiana;Non saprei;Si, abbastanza;la domenica;periferia;avverto difficolta';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,66
613;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia senza figli;casalinga;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;avverto difficolta';Non occupato;Casalinghe;;Media;SILENT;Cattolico non praticante;0,66
614;Donna;55-64 anni;isole;da 5001 a 10000 abitanti;no laurea;coppia con figli;casalinga;in nessuna area politica;Italiana;Si';Si, molto;alcune volte l'anno;periferia;avverto difficolta';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico non praticante;1,98
615;Uomo;45-54 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;operaio;in nessuna area politica;Italiana;No;No, sarei molto contrario;mai;periferia;avverto difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,52
616;Donna;oltre 64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;mai;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;1,07
617;Uomo;25-34 anni;nord-est;da 5001 a 10000 abitanti;laurea;vive da solo +55 anni;operaio;in nessuna area politica;Italiana;Non saprei;Si, abbastanza;alcune volte l'anno;altro;avverto difficolta';Occupato;Operai;Privato;Alta;MILLENNIALS;Cattolico non praticante;0,41
618;Donna;35-44 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;operaio;al centro;Italiana;Si';No, sarei contrario;la domenica;citta' medie;agiatamente;Occupato;Operai;Privato;Bassa;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,3
619;Donna;35-44 anni;centro;da 10001 a 30000 abitanti;laurea;vive con i genitori;impiegato;preferisco non rispondere;Italiana;Si';Si, abbastanza;preferisco non rispondere;altro;avverto difficolta';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;;0,65
620;Donna;55-64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia con figli;casalinga;a sinistra;ho la doppia cittadinanza (italiana e di un altro Paese);Si';No, sarei contrario;alcune volte l'anno;citta' medie;con tranquillita';Non occupato;Casalinghe;;Media;BABY BOOMERS;Cattolico non praticante;0,63
621;Donna;45-54 anni;isole;oltre 250000 abitanti;no laurea;coppia con figli;disoccupato (ex-occupato);in nessuna area politica;Italiana;Si';Si, molto;in occasione delle principali feste;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,93
